dataset,window,lam1,lam2,truth_buf,stratified_point,stratified_ucb,ipw_point,ipw_ucb,naive_point,naive_ucb
har,2,0.35,0.18,0.04533333333333334,0.02698989898989899,0.06460384980739371,0.13513513513513514,0.32267158095901083,0.013513513513513514,0.03226715809590108
har,2,0.35,0.5,0.042,0.020242424242424246,0.05516422293490076,0.10135135135135136,0.2748884703661944,0.010135135135135136,0.02748884703661944
har,2,0.7,0.05,0.03666666666666667,0.05040404040404041,0.09593805632743402,0.2533783783783784,0.5004329133678127,0.10135135135135136,0.1379417406546103
har,2,0.7,0.18,0.006666666666666667,0.006747474747474748,0.034755677357188965,0.033783783783783786,0.16411932739051607,0.0033783783783783786,0.01641193273905161
har,2,0.7,0.5,0.0033333333333333335,0.0,0.02280952291782193,0.0,0.07749557495117188,0.0,0.0077495574951171875
har,3,0.02,0.05,0.168,0.1546111111111111,0.21221380404118728,0.7936507936507936,1.0,0.3412698412698413,0.38717783821953655
har,3,0.02,0.18,0.168,0.1546111111111111,0.21221380404118728,0.7936507936507936,1.0,0.3412698412698413,0.38717783821953655
har,3,0.02,0.5,0.168,0.1546111111111111,0.21221380404118728,0.7936507936507936,1.0,0.3412698412698413,0.38717783821953655
har,3,0.08,0.05,0.168,0.1546111111111111,0.21221380404118728,0.7936507936507936,1.0,0.3412698412698413,0.38717783821953655
har,3,0.08,0.18,0.168,0.1546111111111111,0.21221380404118728,0.7936507936507936,1.0,0.3412698412698413,0.38717783821953655
har,3,0.08,0.5,0.168,0.1546111111111111,0.21221380404118728,0.7936507936507936,1.0,0.3412698412698413,0.38717783821953655
har,3,0.18,0.05,0.146,0.1288830409356725,0.18290429967780747,0.6613756613756613,0.933935074579148,0.2804232804232804,0.32446490898334157
har,3,0.18,0.18,0.1405,0.1233830409356725,0.1764400230919182,0.6322751322751322,0.903450441108179,0.25132275132275134,0.29415241120353586
har,3,0.18,0.5,0.1405,0.1233830409356725,0.1764400230919182,0.6322751322751322,0.903450441108179,0.25132275132275134,0.29415241120353586
har,3,0.35,0.05,0.063,0.04171345029239766,0.07795025271825785,0.2142857142857143,0.41451202120099756,0.09523809523809523,0.12636706942603707
har,3,0.35,0.18,0.039,0.021470760233918126,0.050997510201848985,0.10846560846560845,0.2650395600253312,0.013227513227513227,0.028955441934091074
