dataset,setting,method,n_runs,acc,acc_ci,fidelity_risk,fidelity_risk_ci,violation_rate,violation_rate_ci,cost_scalar,cost_scalar_ci,esc_cloud,esc_cloud_ci,energy_mJ,energy_mJ_ci,latency_ms,latency_ms_ci,usd,usd_ci
gas,iid,device_only,20,0.9641153846153847,0.003091365719892573,0.033884615384615326,0.002799559058744,0.07692307692307693,0.06397564809644472,7.841053839511644e-05,6.507552871283755e-21,0.0,0.0,3.6000000000000007e-06,4.0672205445523467e-22,0.012000000000000002,8.329667675243206e-19,0.0,0.0
gas,iid,cloud_only,20,0.9904999999999999,0.0014676102915456384,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.07704052799999991,6.663734140194565e-18,43.599729919999994,3.4118318797796172e-15,0.0002,0.0
gas,iid,fixed_conf,20,0.9641153846153847,0.003091365719892573,0.033884615384615326,0.002799559058744,0.07692307692307693,0.06397564809644472,7.841053839511644e-05,6.507552871283755e-21,0.0,0.0,3.6000000000000007e-06,4.0672205445523467e-22,0.012000000000000002,8.329667675243206e-19,0.0,0.0
gas,iid,entropy,20,0.9641153846153847,0.003091365719892573,0.033884615384615326,0.002799559058744,0.07692307692307693,0.06397564809644472,7.841053839511644e-05,6.507552871283755e-21,0.0,0.0,3.6000000000000007e-06,4.0672205445523467e-22,0.012000000000000002,8.329667675243206e-19,0.0,0.0
gas,iid,learned_router,20,0.9641153846153847,0.003091365719892573,0.033884615384615326,0.002799559058744,0.07692307692307693,0.06397564809644472,7.841053839511644e-05,6.507552871283755e-21,0.0,0.0,3.6000000000000007e-06,4.0672205445523467e-22,0.012000000000000002,8.329667675243206e-19,0.0,0.0
gas,iid,cost_static,20,0.9641153846153847,0.003091365719892573,0.033884615384615326,0.002799559058744,0.07692307692307693,0.06397564809644472,7.841053839511644e-05,6.507552871283755e-21,0.0,0.0,3.6000000000000007e-06,4.0672205445523467e-22,0.012000000000000002,8.329667675243206e-19,0.0,0.0
gas,iid,offline_crc,20,0.9641153846153847,0.003091365719892573,0.033884615384615326,0.002799559058744,0.07692307692307693,0.06397564809644472,7.841053839511644e-05,6.507552871283755e-21,0.0,0.0,3.6000000000000007e-06,4.0672205445523467e-22,0.012000000000000002,8.329667675243206e-19,0.0,0.0
gas,iid,online_naive,20,0.9699615384615384,0.0023933933234966923,0.027215384615384565,0.0020861555396723464,0.042307692307692296,0.04125478650139384,0.24218233404507528,0.0030853105786505836,0.15418461538461534,0.0005705920113412349,0.018906966480738405,0.0004171462955641109,10.433873720595694,0.07264436145789813,4.7741538461538476e-05,3.300184494331775e-07
gas,iid,online_ipw,20,0.9885076923076923,0.0014159879212622432,0.006699999999999956,0.001439186677236258,0.0,0.0,0.5458011281182146,0.045416465933155195,0.2854923076923076,0.02846332209055559,0.05596855676750765,0.005464745813509493,16.494476657801847,1.1888376913560155,7.126461538461539e-05,5.191463921152218e-06
gas,iid,codec,20,0.9733692307692305,0.0021016625215977826,0.023769230769230723,0.0018153007946457485,0.019230769230769225,0.02578940822839914,0.2521712863045081,0.0081334258788772,0.156476923076923,0.002718365363069759,0.020268179336861487,0.0010867042676905533,10.558791121979077,0.12707473889347454,4.812923076923078e-05,4.746883874803198e-07
gas,iid,codec_no_explore,20,0.9711153846153848,0.0011424923538547894,0.02592307692307687,0.0010812957045140648,0.0,0.0,0.1601928660940569,0.0051363129948890215,0.1538461538461538,0.0,0.0128008312615384,0.0007731797131923279,6.749339864615385,0.025790694809787483,3.076923076923079e-05,3.2537764356418774e-21
gas,iid,codec_no_aci,20,0.9777307692307693,0.001780451213514523,0.01933846153846149,0.0018838411472253127,0.003846153846153845,0.008050092516955033,0.2741577595101959,0.012591349655758857,0.16719999999999996,0.007401168690422727,0.02286958205243072,0.0015461476893350783,11.040915988361846,0.3117294671945261,5.005692307692308e-05,1.3505441652122491e-06
gas,iid,codec_bonferroni,20,0.9820692307692307,0.0013558159124763649,0.014846153846153792,0.0013964678950188754,0.0,0.0,0.30015617683999174,0.011576809281293959,0.1787307692307692,0.012843295260795537,0.026090172852184557,0.0013103143433929488,11.535175772376615,0.48652365757641164,5.1943076923076945e-05,2.305521288401347e-06
gas,iid,codec_rawconf,20,0.9743230769230768,0.0021787943059569633,0.022669230769230723,0.0020914297244101518,0.023076923076923068,0.02884821753655778,0.2679169015356588,0.013513149915032453,0.15915384615384612,0.008026687804063235,0.02242021011692303,0.0019124795447675682,10.75236769851077,0.3091917473546161,4.872307692307694e-05,1.4450870222005984e-06
