dataset,tier,n_features,hidden,params,macs,payload_bytes,latency_measured_us,energy_mJ_modelled,latency_ms_modelled,usd_modelled,cost_scalar,stream_acc_shift
har,device,18,"(8,)",206,192,0,4.0,4.0320000000000005e-06,0.01344,0.0,4.270439749907766e-05,0.8423299786520281
har,gateway,120,"(64,)",8134,8064,4608,7.2,0.691251264,23.061312000000004,0.0,0.5678137248941949,0.905154010369015
har,cloud,561,"(256, 128)",177542,177152,2244,25.1,0.691890432,67.55357312000001,0.0002,1.0,0.9153705397987191
gas,device,16,"(8,)",190,176,0,6.4,3.6e-06,0.012,0.0,7.841053839511647e-05,0.563102072589277
gas,gateway,32,"(64,)",2502,2432,512,6.9,0.07681704,2.57424,0.0,0.5103580561658649,0.49683759852096915
gas,cloud,128,"(256, 128)",66694,66304,512,19.5,0.077040528,43.59972992,0.0002,1.0,0.6637150919529046
rtiot,device,11,"(8,)",204,184,0,4.6,2.664e-06,0.008879999999999999,0.0,6.517400479534897e-05,0.8548640167364017
rtiot,gateway,40,"(64,)",3404,3328,376,9.3,0.056420328,1.891824,0.0,0.5071665238207022,0.961885460251046
rtiot,cloud,94,"(256, 128)",58764,58368,376,26.3,0.05661348,42.64511168,0.0002,1.0,0.984178870292887
